time,A,B,C
4/25/2015 12:30,903.3693237,3339.108643,1201.638916
4/25/2015 12:45,903.3693237,3324.755615,1202.845947
4/25/2015 13:00,901.5837402,3323.030273,1202.845947
4/25/2015 13:15,882.3218384,3254.959717,1194.650391
4/25/2015 13:30,867.987854,3202.170898,1194.650391
4/25/2015 13:45,859.7793579,3196.938965,1145.082886
4/25/2015 14:00,852.2651367,3194.550537,1088.634277
4/25/2015 14:15,847.8878174,3139.270508,1084.728882
4/25/2015 14:30,847.8878174,3112.494873,1084.728882
4/25/2015 14:45,853.4615479,3111.916504,1079.411621
4/25/2015 15:00,853.5427856,3127.328613,1080.953125
4/25/2015 15:15,877.3689575,3122.925293,1061.732178
4/25/2015 15:30,877.3689575,3120.701904,1018.485596
4/25/2015 15:45,849.0241089,3111.718018,997.9676514
4/25/2015 16:00,826.4873657,3066.235107,981.2622681
4/25/2015 16:15,822.0557861,3048.968994,981.2622681
4/25/2015 16:30,821.7295532,3042.421875,1018.485596
4/25/2015 16:45,819.710083,3048.968994,964.40625
4/25/2015 17:00,821.6295776,3028.635254,990.3376465
4/25/2015 17:15,839.8670654,3004.628906,990.3376465
4/25/2015 17:30,841.3964233,2968.27832,984.696167
4/25/2015 17:45,854.4274292,2968.27832,970.0166626
4/25/2015 18:00,846.194458,2955.995361,984.696167
4/25/2015 18:15,847.3946533,2944.528564,989.3068237
4/25/2015 18:30,843.5913086,2944.528564,1014.875305
4/25/2015 18:45,841.8068237,2942.214111,1008.163025
4/25/2015 19:00,820.3864136,2941.303955,1013.158081
4/25/2015 19:15,815.4163208,2925.147949,999.6783447
4/25/2015 19:30,789.621521,2914.152588,982.15979
4/25/2015 19:45,783.1480103,2883.659424,982.15979
4/25/2015 20:00,781.3062744,2881.546143,973.56604
4/25/2015 20:15,781.3062744,2881.546143,972.5300903
4/25/2015 20:30,775.2489624,2882.611084,973.56604
4/25/2015 20:45,779.0239868,2880.629883,993.0476685
4/25/2015 21:00,776.7427979,2880.629883,993.0476685
4/25/2015 21:15,766.9428711,2878.382813,1002.006287
4/25/2015 21:30,744.2875977,2813.178223,1011.938354
4/25/2015 21:45,732.388855,2793.2854,1011.938354
4/25/2015 22:00,716.4979858,2765.862305,1006.235718
4/25/2015 22:15,703.3352661,2755.538574,934.8155518
4/25/2015 22:30,696.4420776,2634.223145,934.8155518
4/25/2015 22:45,676.0855713,2557.385742,920.3185425
4/25/2015 23:00,676.0855713,2504.911377,866.753418
4/25/2015 23:15,652.8458252,2436.916992,856.1790771
4/25/2015 23:30,652.8458252,2395.551025,856.1790771
4/25/2015 23:45,650.77948,2346.505859,842.7349243
4/26/2015 0:00,644.7684326,2334.8396,790.2030029
4/26/2015 0:15,636.2788086,2284.930908,766.4192505
4/26/2015 0:30,623.1581421,2256.401611,751.7543335
4/26/2015 0:45,620.1304321,2200.851563,731.3594971
4/26/2015 1:00,611.1196899,2186.330566,679.7979126
4/26/2015 1:15,621.9058838,2162.757568,606.2297974
4/26/2015 1:30,621.9058838,2103.701904,583.9907837
4/26/2015 1:45,622.3228149,2077.877441,581.1900635
4/26/2015 2:00,625.1878052,2045.13208,548.4419556
4/26/2015 2:15,625.78125,2006.187622,546.5691528
4/26/2015 2:30,625.78125,1979.629028,483.1307068
4/26/2015 2:45,618.2554321,1972.298096,443.3728027
4/26/2015 3:00,614.0192871,1970.062622,423.2265625
4/26/2015 3:15,614.0192871,1949.274658,423.2265625
4/26/2015 3:30,614.0192871,1930.04834,419.4274597
4/26/2015 3:45,617.31073,1902.280884,407.3497009
4/26/2015 4:00,626.7510986,1884.411865,389.4226074
4/26/2015 4:15,641.2008057,1849.112427,402.4788208
4/26/2015 4:30,651.9435425,1849.112427,400.6418762
4/26/2015 4:45,661.7124023,1849.112427,400.6418762
4/26/2015 5:00,726.6604614,1814.659912,404.0155334
4/26/2015 5:15,776.2955322,1807.119141,404.0155334
4/26/2015 5:30,798.362915,1768.093994,438.2011719
